No,Job Title,Location,Employee Type,Company Type,Company,Job Function,Job Category,Require
19,Backend Engineer Remote,Phnom Penh,Full-time,Private,Boo,Engineering and Information Technology,Other,"Java, Python, JavaScript, C#, Ruby, PHP, Scala, SQL, NoSQL"
20,Data Scientist,Phnom Penh,Full-time,Private,Boo,Engineering and Information Technology,Data Scientist,"Python, R, SQL, AWS, Azure, Google Clound, MATLAB, Julia, Scala, SAS, Excel, Bash"
21,Data Scientist,Phnom Penh,Full-time,Private,Boo,Engineering and Information Technology,Data Scientist,"Python, R, SQL, AWS, Azure, Google Clound, MATLAB, Julia, Scala, SAS, Excel, Bash"
22,Data Scientist,Phnom Penh,Full-time,Private,Boo,Engineering and Information Technology,Data Scientist,"Python, R, SQL, AWS, Azure, Google Clound, MATLAB, Julia, Scala, SAS, Excel, Bash"
23,Infrastructure Engineer,Phnom Penh,Part-time,Private,PLS,Information Technology,Data Engineer,"Python, SQL, Scala, Java, R, Apache Spark, Hadoop, Apache Kafka, No SQL, ETL, AWS, Google Clound"
24,Performance Engineer,Phnom Penh,Full-time,Private,Boo,Engineering and Information Technology,Data Engineer,"Python, SQL, Scala, Java, R, Apache Spark, Hadoop, Apache Kafka, No SQL, ETL, AWS, Google Clound"
25,Performance Engineer Remote,Phnom Penh,Full-time,Private,Boo,Engineering and Information Technology,Data Engineer,"Python, SQL, Scala, Java, R, Apache Spark, Hadoop, Apache Kafka, No SQL, ETL, AWS, Google Clound"
26,Power Platform Developer,Phnom Penh,Full-time,Private,CFB Bots Pte Ltd,Engineering and Information Technology,Other,"Power Apps, Power Bi, CDS, Dataverse , Azure, Dynamic 365, MS office, Java Script"
27,Python Developer,Phnom Penh,Full-time,Private,Cerebital,Engineering and Information Technology,Other,"Python, Flask, Django, PostgreSQL, MySQL, No SQL, MongoDB"
28,Software Engineer,Phnom Penh,Full-time,Private,PLS,Engineering and Information Technology,Other,"Python, R, Matlab, Java, C++, HTML, CSS, JavaScript, SQL, Scala, Kotlin"
29,Xamarin Developer,Phnom Penh,Full-time,Private,PLS,Engineering and Information Technology,Other,"Python, R, Matlab, Java, C++, HTML, CSS, JavaScript, SQL, Scala, Kotlin"
30,System Developer,Phnom Penh,Full-time,Private,"HRINC (Cambodia) Co., Ltd",Engineering and Information Technology,Data Engineer,"Python, SQL, Scala, Java, R, Apache Spark, Hadoop, Apache Kafka, No SQL, ETL, AWS, Google Clound"
31,Project Assistant for Sponsorship Information,Phnom Penh,Full-time,Private,World Vision,Administrative,Other,"MS Office, MySQL, PostgreSQL, CRM, Power Bi, Tableau, Google Date Studio"
32,Data Engineer,Phnom Penh,Full-time,Private,Mengly J. Quach Education,Information Technology,Data Engineer,"Python, SQL, Scala, Java, R, Apache Spark, Hadoop, Apache Kafka, No SQL, ETL, AWS, Google Clound"
33,Data Engineer,Phnom Penh,Full-time,Private,Mengly J. Quach Education,Information Technology,Data Engineer,"Python, SQL, Scala, Java, R, Apache Spark, Hadoop, Apache Kafka, No SQL, ETL, AWS, Google Clound"
